îNóÓ,ëÃèd,êgí∑,ãπàÕ,ï†àÕ
23.5 ,61.4 ,1680.0 ,881.0 ,821.0 
22.5 ,83.6 ,1681.0 ,987.0 ,955.0 
27.4 ,49.4 ,1609.0 ,868.0 ,734.0 
27.2 ,65.0 ,1687.0 ,941.0 ,845.0 
22.2 ,58.8 ,1695.0 ,946.0 ,806.0 
23.9 ,61.4 ,1732.0 ,924.0 ,846.0 
22.3 ,65.8 ,1754.0 ,932.0 ,790.0 
24.7 ,69.8 ,1717.0 ,974.0 ,877.0 
26.6 ,64.2 ,1773.0 ,913.0 ,857.0 
25.6 ,65.6 ,1714.0 ,933.0 ,815.0 
20.3 ,54.2 ,1672.0 ,831.0 ,787.0 
21.2 ,53.6 ,1620.0 ,866.0 ,726.0 
30.3 ,65.4 ,1744.0 ,934.0 ,842.0 
29.1 ,63.6 ,1728.5 ,938.0 ,795.0 
25.5 ,53.0 ,1656.0 ,857.0 ,692.0 
26.6 ,52.4 ,1639.0 ,842.0 ,831.0 
28.4 ,45.6 ,1588.0 ,818.0 ,750.0 
27.9 ,82.8 ,1860.0 ,1002.0 ,867.0 
27.5 ,61.0 ,1696.0 ,934.0 ,853.0 
23.8 ,52.2 ,1715.0 ,862.0 ,795.0 
24.1 ,55.6 ,1607.5 ,892.0 ,782.0 
26.1 ,63.0 ,1710.0 ,910.0 ,846.0 
22.9 ,53.6 ,1570.0 ,883.0 ,777.0 
21.9 ,64.4 ,1781.0 ,913.0 ,836.0 
22.6 ,57.2 ,1600.0 ,891.0 ,750.5 
28.5 ,69.0 ,1789.0 ,945.0 ,890.0 
30.0 ,65.2 ,1690.0 ,925.0 ,834.0 
22.2 ,54.6 ,1650.0 ,851.0 ,774.0 
22.3 ,43.8 ,1567.0 ,819.0 ,663.0 
22.4 ,77.4 ,1751.0 ,984.0 ,840.0 
21.8 ,56.2 ,1676.0 ,920.0 ,756.0 
21.9 ,66.6 ,1728.0 ,958.0 ,756.0 
26.8 ,64.6 ,1696.0 ,952.0 ,777.0 
21.8 ,60.0 ,1659.0 ,908.0 ,766.0 
22.8 ,71.0 ,1747.0 ,938.0 ,786.0 
21.9 ,63.6 ,1736.0 ,903.0 ,775.0 
22.4 ,75.4 ,1612.0 ,1004.0 ,917.0 
22.9 ,60.0 ,1766.0 ,884.0 ,747.0 
21.5 ,64.4 ,1678.0 ,920.0 ,805.0 
25.8 ,70.0 ,1725.0 ,984.0 ,835.0 
22.4 ,53.6 ,1674.0 ,892.0 ,699.0 
30.3 ,63.0 ,1652.0 ,921.0 ,870.0 
30.5 ,71.2 ,1673.0 ,976.0 ,894.0 
28.0 ,59.2 ,1665.0 ,892.0 ,745.0 
25.2 ,70.4 ,1795.0 ,935.0 ,806.0 
23.6 ,78.6 ,1706.0 ,1027.0 ,906.0 
22.2 ,84.6 ,1784.0 ,1088.0 ,902.0 
21.6 ,72.8 ,1832.0 ,982.0 ,831.0 
22.2 ,69.6 ,1658.0 ,1012.0 ,857.0 
